reviewerId,merge_id,tags,atmosphere_id
5D3CEB516C42E8B712F5909F89DB92FA,8676164160175657e3,vegan,21
E6249CED15DF1C8D8439EAA2FAB16791,9073458987151887e3,party,27
27B1F81ED845CBAB3F7072DE712493F1,9111802159654974e3,vegetarian option,29
E3B657D964164B8D4103617CB7E9E8EB,9247538084703476e3,welcoming,11
A38D3E09414A2EE4B82A68B6B8C69310,9380909121715874e3,attentive,6
4E1F6125CA8657A2878FE7E01326F624,9694269571489757e3,welcoming,11
4E1F6125CA8657A2878FE7E01326F624,9694269571489757e3,original,8
619A55EF664AD99B5505311E23C23E71,9703492787511929e3,vegan,21
619A55EF664AD99B5505311E23C23E71,9703492787511929e3,vegan,21
106874270431130218842,1.0295908973408641e+019,quiet,12
106520785790341518884,10603253371679685e3,michelin star,17
9889FC4EFD125FA2531BF265C375FB8F,10932713663001102e3,gluten free,30
103820250820885931293,10937555999449879e3,relaxed,2
A849D2011F32D64B4AD66CCD5914C466,1127868817740632e4,tasting menu,26
110584331070565833743,11368257517498724e3,original,8
103107588155486453881,11368257517498724e3,tasting menu,26
103107588155486453881,11368257517498724e3,welcoming,11
DE4FD3F5E9F0136359B32CE9ACCABBBC,11475478972569709e3,gluten free,30
3HzwMN86uxTF93kCoME3rw,11475478972569709e3,friends,23
90318A0EEF0DFE47659BD6D4558636B3,11558842210152765e3,quiet,12
105018782091502200120,11670278529392198e3,attentive,6
ABFE296BAA4A8ADA7156FB612E4193BE,11776200627482214e3,friends,23
BCA6AF476A079B69C39D3247A17ADC57,11791114913147777e3,quiet,12
2B8FC1EFB5CD2BB3B690D29575DBAA7F,12050260881492982e3,vegetarian option,29
9150EB7F935BF4E9B0EAE223B82674D9,12311413925825081e3,modern,19
114786129416291995356,12343833333985024e3,attentive,6
BE22EAAE5CF1B2ADE20179A3B43BFCEA,12433821057005103e3,kids,25
C56EE7962E5C4677E052ACD06E48E345,128042395722699e5,attentive,6
780DC48858680414D08FC6D9D6ECD8DB,12827454169843116e3,tasting menu,26
107546241461495856923,1321827414301164e4,friends,23
02E749D27DB1E2A8B906649C7A951EFA,13228506398548e6,romantic,3
93A68F2229BD06390A941C34A19FFC39,13238342879019151e3,attentive,6
114815160705477302438,13267845521823631e3,vegan,21
114815160705477302438,13267845521823631e3,gourmet,16
114815160705477302438,13267845521823631e3,original,8
0497DD8AE46EE24AE132112A397C19AE,13313430635373666e3,vegan,21
8F0CC9F35C215AA6B42FA46CD4999AD6,13335510097180615e3,vegan,21
104920785800623358240,13394386062285103e3,tasting menu,26
03FD2701C63B111C5763AB6A85C1BA7F,13594559663509918e3,kids,25
2BA70A8FCCB2B902FDA5607513A6F29C,13772647061233308e3,gluten free,30
5AF454524E5662E0BC0A9E1DAC0B263A,13829182004768625e3,vegan,21
xmMevhYFo04bu9KdCeJ64Q,14059695439855133e3,welcoming,11
8217FC964205AD84CCB106730AC46078,1428300457509171e4,family,24
04C11992D4CAF9D542EADCCC87053309,14301069624566112e3,family,24
5A8E09FBE6C0F435BEA2F42F03562719,14419676237727767e3,family,24
102811483544460204037,14616397093105689e3,romantic,3
102811483544460204037,14616397093105689e3,original,8
102811483544460204037,14616397093105689e3,quiet,12
6729FF9F3C4FDA879926275FDBA736BD,14860449343257457e3,gourmet,16
B6B31EE82DBCBABC92AA7F0586D49788,14906159667842906e3,gluten free,30
012C6D8A3FE8BA0B172630FC8F887F7F,14906159667842906e3,vegan,21
012C6D8A3FE8BA0B172630FC8F887F7F,14906159667842906e3,vegan,21
973BABE69981CA150CFAE5828292147A,15070676966517879e3,attentive,6
116419880062525633253,15296363819800922e3,family,24
7BD35CD772E187A517E350528DEB3645,15840282372480778e3,friends,23
113050349008335010744,16180001866939396e3,elegant,5
92E77249B895D3184898891AB8A76367,1659774926633351e4,friends,23
59000819ECC2C60E43D4B4167AE70844,16694554110885222e3,welcoming,11
108096261051092302773,16805457674532989e3,attentive,6
55D30E290A882B645805E6868AA48D2F,16868334559575622e3,attentive,6
101901235159550326965,16910621873490831e3,attentive,6
HwdQwh5WcpwNPqOcz54MxQ,16910621873490831e3,tasting menu,26
3339F64732BD9BEC40D9881CBE34DB82,17000960786102745e3,tasting menu,26
109905753051572822483,17089001682395136e3,attentive,6
4579EAB5867549C69152E5A0B47D84E7,17089001682395136e3,vegan,21
96B3AF5C5B9E18AC77EDB74AAC809144,17501345434937604e3,tasting menu,26
F2ACF7A882F8BE4BA915E973256E0AAB,1785797628869769e4,friends,23
Ff2GdWX5-dIBEshaDVFXZQ,178670027174347e5,tasting menu,26
y83ue0iFzDH4lOmzk_WlBA,17897089248486674e3,casual,1
116883032326549799420,18301377682670563e3,family,24
A3AD97481324BBD473471FCFE6B79036,18375536665429486e3,attentive,6
118294635012841739460,18389642022585186e3,vegan,21
